Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
3/9/2021,Amazon.com,,3/10/2021,Shipped,$14.99 ,$0.00 ,$0.90 ,$0.00 ,$0.90 ,$15.89 ,PSF,
3/9/2021,Amazon.com,,3/10/2021,Shipped,$9.99 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$10.59 ,PSF,
3/9/2021,Amazon.com,,3/15/2021,Shipped,$11.00 ,$5.49 ,$0.99 ,$0.00 ,$0.99 ,$17.48 ,PSF,
3/10/2021,Amazon.com,,3/28/2021,Shipped,$9.98 ,$0.00 ,$0.00 ,$1.50 ,$0.00 ,$8.48 ,PSF,
3/12/2021,Amazon.com,,3/16/2021,Shipped,$39.93 ,$0.00 ,$1.68 ,$0.60 ,$1.68 ,$41.01 ,PSF,
3/12/2021,Amazon.com,,3/17/2021,Shipped,$27.59 ,$0.00 ,$1.66 ,$0.00 ,$1.66 ,$29.25 ,PSF,
3/14/2021,Amazon.com,,3/15/2021,Shipped,$152.84 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$152.84 ,PSF,
3/15/2021,Amazon.com,,3/19/2021,Shipped,$14.99 ,$0.00 ,$0.90 ,$0.00 ,$0.90 ,$15.89 ,PSF,
3/16/2021,Amazon.com,,3/16/2021,Shipped,$6.12 ,$0.00 ,$0.37 ,$0.00 ,$0.37 ,$6.49 ,PSF,
3/16/2021,Amazon.com,,3/17/2021,Shipped,$21.42 ,$0.00 ,$1.29 ,$0.00 ,$1.29 ,$22.71 ,PSF,
3/18/2021,Amazon.com,,3/28/2021,Shipped,$8.97 ,$0.00 ,$0.45 ,$1.35 ,$0.45 ,$8.07 ,PSF,
3/21/2021,Amazon.com,,3/22/2021,Shipped,$146.41 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$146.41 ,PSF,
3/22/2021,Amazon.com,,3/22/2021,Shipped,$149.99 ,$0.00 ,$7.20 ,$30.00 ,$7.20 ,$127.19 ,PSF,
3/22/2021,Amazon.com,,3/24/2021,Shipped,$18.99 ,$0.00 ,$1.14 ,$0.00 ,$1.14 ,$20.13 ,PSF,
3/22/2021,Amazon.com,,3/24/2021,Shipped,$13.99 ,$0.00 ,$0.76 ,$1.40 ,$0.76 ,$13.35 ,PSF,
3/23/2021,Amazon.com,,3/23/2021,Shipped,$27.99 ,$0.00 ,$1.68 ,$0.00 ,$1.68 ,$29.67 ,PSF,
3/26/2021,Amazon.com,,3/28/2021,Shipped,$12.74 ,$0.00 ,$0.00 ,$1.91 ,$0.00 ,$10.83 ,PSF,
3/26/2021,Amazon.com,,3/27/2021,Shipped,$21.95 ,$0.00 ,$1.19 ,$2.20 ,$1.19 ,$20.94 ,PSF,
3/26/2021,Amazon.com,,3/29/2021,Shipped,$20.76 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$20.76 ,PSF,
3/26/2021,Amazon.com,,3/29/2021,Shipped,$16.68 ,$0.00 ,$0.00 ,$2.50 ,$0.00 ,$14.18 ,PSF,
3/28/2021,Amazon.com,,3/28/2021,Shipped,$94.99 ,$0.00 ,$5.70 ,$0.00 ,$5.70 ,$100.69 ,PSF,
3/29/2021,Amazon.com,,4/21/2021,Shipped,$7.71 ,$0.00 ,$0.00 ,$1.16 ,$0.00 ,$6.55 ,PSF,
3/30/2021,Amazon.com,,3/31/2021,Shipped,$3.00 ,$0.00 ,$0.18 ,$0.00 ,$0.18 ,$3.18 ,PSF,
3/30/2021,Amazon.com,,3/30/2021,Shipped,$5.45 ,$0.00 ,$0.33 ,$0.00 ,$0.33 ,$5.78 ,PSF,
